team_A,team_B,first_kick_team,first_kick_result,win_team,total_success_rate_A,total_success_rate_B,competition,year,stage,shootout_length
Udinese,Dortmund,B,saved,A,0.8,0.6,UEL,2008,First Round,10
Dep. La Coruna,Brann,B,scored,A,0.75,0.4,UEL,2008,First Round,9
Twente,Marseile,B,scored,B,0.86,0.86,UEL,2009,3rd Round,14
Alborg BK,Manchester City,A,scored,B,0.6,1.0,UEL,2009,Round of 16,9
Steaua Bucharest,Ajax,B,scored,A,1.0,0.5,UEL,2013,Intermidiate Stage,8
Basel,Tottenham,A,scored,A,1.0,0.33,UEL,2013,Quarter Finals,7
Real Betis,Sevilla,B,saved,B,0.6,0.8,UEL,2014,Round of 16,10
Sevilla,Benfica,B,scored,A,1.0,0.5,UEL,2014,Final,8
Besiktas,Liverpool,A,scored,A,1.0,0.8,UEL,2015,Intermidiate Stage,10
Sevilla,Athletic Club,B,scored,A,1.0,0.8,UEL,2016,Quarter Finals,10
Besiktas,Lyon,A,scored,B,0.75,0.86,UEL,2017,Quarter Finals,16
Chelsea,Eintracht Frakfurt,B,scored,A,0.8,0.6,UEL,2019,Semi Finals,10
Villareal,Manchester United,A,scored,A,1.0,0.91,UEL,2021,Final,22
Braga,Sheriff,B,saved,A,0.6,0.4,UEL,2022,Intermidiate Stage,10
Eintracht Frankfurt,Rangers,B,scored,A,1.0,0.8,UEL,2022,Final,10
Monaco,Bayer Leverkusen,B,scored,B,0.75,1.0,UEL,2023,Intermidiate Stage,9
Stade Rennais,Shaktar Donetsk,A,scored,B,0.57,0.71,UEL,2023,Intermidiate Stage,14
Arsenal,Sporting,B,scored,B,0.75,1.0,UEL,2023,Round of 16,9
Sevilla,Roma,A,scored,A,1.0,0.33,UEL,2023,Final,7
Rangers,Fenerbahce,B,saved,A,0.75,0.8,UEL,2025,Round of 16,9
Lazio,Bodo Glimt,B,saved,B,0.4,0.6,UEL,2025,Quarter Finals,10



















